ID_ESCOLA,TIPO_ESCOLA,AREA,LOCALIZACAO,MEDIA_MT,MEDIA_LP,FAIXA_MT,FAIXA_LP,INSE_MEDIO,GRUPO_INSE,NIVEL_INSE_MODAL,N_ALUNOS,N_ALUNOS_MT_VALIDOS,N_ALUNOS_LP_VALIDOS
61425666,Pública,Interior,Urbana,2687.0693210925924,306.0049858888889,Q4_Alto,Q4_Alto,5.307452830188679,Alto_INSE,5,127,108,108
61451133,Pública,Capital,Urbana,2648.6438335423727,306.3579503163842,Q4_Alto,Q4_Alto,5.538292682926829,Alto_INSE,6,207,177,177
61433498,Pública,Interior,Urbana,2620.301197252252,2766.6268543603605,Q4_Alto,Q4_Alto,5.303425925925926,Alto_INSE,4,128,111,111
61424801,Pública,Capital,Urbana,2613.2088976917807,290.478968260274,Q4_Alto,Q4_Alto,5.5211538461538465,Alto_INSE,1,210,146,146
61449645,Pública,Interior,Urbana,2612.3673330510205,279.04337424489796,Q4_Alto,Q3_Médio-Alto,5.206813186813187,Alto_INSE,1,126,98,98
61416608,Pública,Interior,Urbana,2549.9060176722687,265.50936817647056,Q4_Alto,Q2_Médio-Baixo,4.311739130434782,Baixo_INSE,3,147,119,119
61457713,Pública,Interior,Urbana,2474.3138621981984,2614.4284376846845,Q4_Alto,Q4_Alto,5.15060606060606,Alto_INSE,1,135,111,111
61465842,Pública,Interior,Urbana,2460.838599676259,276.8526155683453,Q4_Alto,Q3_Médio-Alto,5.07043795620438,Medio_INSE,1,177,139,139
61424817,Pública,Interior,Urbana,2443.7431535,273.22832276,Q4_Alto,Q3_Médio-Alto,5.403979591836735,Alto_INSE,5,122,100,100
61416663,Pública,Interior,Urbana,2354.1807941515153,297.1348231742424,Q4_Alto,Q4_Alto,4.9692,Medio_INSE,4,150,132,132
61412167,Pública,Interior,Urbana,2347.2711817674417,273.1303113604651,Q4_Alto,Q3_Médio-Alto,4.333023255813954,Baixo_INSE,2,107,86,86
61425019,Pública,Interior,Urbana,2177.567663970803,254.36136667153283,Q4_Alto,Q1_Baixo,4.89609375,Medio_INSE,1,178,137,137
61449163,Pública,Interior,Urbana,2171.84248756962,274.79414567088605,Q4_Alto,Q3_Médio-Alto,5.277,Alto_INSE,1,201,158,158
61405112,Pública,Capital,Urbana,2154.159393298387,277.4760204193548,Q4_Alto,Q3_Médio-Alto,5.329752066115702,Alto_INSE,1,160,124,124
61432531,Pública,Interior,Urbana,2152.658310387597,274.68381945736434,Q4_Alto,Q3_Médio-Alto,5.1025833333333335,Alto_INSE,1,190,129,129
61437650,Pública,Interior,Urbana,2148.6666070238093,272.1261799603175,Q4_Alto,Q2_Médio-Baixo,5.503103448275862,Alto_INSE,1,167,126,126
61421769,Pública,Interior,Urbana,2124.384739006579,272.62624680263156,Q4_Alto,Q2_Médio-Baixo,5.182040816326531,Alto_INSE,1,193,152,152
61441584,Pública,Interior,Urbana,2118.8582767213115,264.61888906557374,Q4_Alto,Q2_Médio-Baixo,4.739916666666667,Medio_INSE,4,151,122,122
61399849,Pública,Interior,Urbana,2114.594073039216,292.6436363986928,Q4_Alto,Q4_Alto,5.494366197183099,Alto_INSE,1,202,153,153
61442309,Pública,Interior,Urbana,2104.3158116234567,272.36256997530865,Q4_Alto,Q2_Médio-Baixo,5.438766233766234,Alto_INSE,1,244,162,162
61432900,Pública,Capital,Urbana,2051.1726698732396,292.493950915493,Q4_Alto,Q4_Alto,5.427404580152672,Alto_INSE,1,163,142,142
61442010,Pública,Interior,Urbana,2032.5155131005918,274.8084338579882,Q4_Alto,Q3_Médio-Alto,4.911744966442953,Medio_INSE,1,227,169,169
61424823,Pública,Interior,Urbana,2005.4521553742331,3882.544923386503,Q4_Alto,Q4_Alto,5.450952380952381,Alto_INSE,1,195,163,163
61450139,Pública,Interior,Urbana,1847.09278165625,1932.4045379,Q4_Alto,Q4_Alto,5.401513157894737,Alto_INSE,6,181,160,160
61466227,Pública,Interior,Urbana,1844.7874526506025,287.1916892048193,Q4_Alto,Q4_Alto,5.260705128205128,Alto_INSE,1,211,166,166
