"ID_UF","ID_MUNICIPIO","ID_AREA","ID_ESCOLA","IN_PUBLICA","ID_LOCALIZACAO","ID_TURMA","ID_SERIE","ID_ALUNO","IN_SITUACAO_CENSO","IN_PREENCHIMENTO_LP","IN_PREENCHIMENTO_MT","IN_PRESENCA_LP","IN_PRESENCA_MT","ID_CADERNO_LP","ID_BLOCO_1_LP","ID_BLOCO_2_LP","ID_CADERNO_MT","ID_BLOCO_1_MT","ID_BLOCO_2_MT","IN_PROFICIENCIA_LP","IN_PROFICIENCIA_MT","IN_AMOSTRA","ESTRATO","PESO_ALUNO_LP","PROFICIENCIA_LP","ERRO_PADRAO_LP","PROFICIENCIA_LP_SAEB","ERRO_PADRAO_LP_SAEB","PESO_ALUNO_MT","PROFICIENCIA_MT","ERRO_PADRAO_MT","PROFICIENCIA_MT_SAEB","ERRO_PADRAO_MT_SAEB","IN_PREENCHIMENTO_QUESTIONARIO","IN_INSE","INSE_ALUNO","NU_TIPO_NIVEL_INSE","PESO_ALUNO_INSE","TX_RESP_Q01","TX_RESP_Q02","TX_RESP_Q03","TX_RESP_Q04","TX_RESP_Q05a","TX_RESP_Q05b","TX_RESP_Q05c","TX_RESP_Q06","TX_RESP_Q07a","TX_RESP_Q07b","TX_RESP_Q07c","TX_RESP_Q07d","TX_RESP_Q07e","TX_RESP_Q08","TX_RESP_Q09","TX_RESP_Q10a","TX_RESP_Q10b","TX_RESP_Q10c","TX_RESP_Q10d","TX_RESP_Q10e","TX_RESP_Q10f","TX_RESP_Q11a","TX_RESP_Q11b","TX_RESP_Q11c","TX_RESP_Q12a","TX_RESP_Q12b","TX_RESP_Q12c","TX_RESP_Q12d","TX_RESP_Q12e","TX_RESP_Q12f","TX_RESP_Q12g","TX_RESP_Q13a","TX_RESP_Q13b","TX_RESP_Q13c","TX_RESP_Q13d","TX_RESP_Q13e","TX_RESP_Q13f","TX_RESP_Q13g","TX_RESP_Q13h","TX_RESP_Q13i","TX_RESP_Q14","TX_RESP_Q15a","TX_RESP_Q15b","TX_RESP_Q16","TX_RESP_Q17","TX_RESP_Q18","TX_RESP_Q19","TX_RESP_Q20","TX_RESP_Q21a","TX_RESP_Q21b","TX_RESP_Q21c","TX_RESP_Q21d","TX_RESP_Q21e","TX_RESP_Q22a","TX_RESP_Q22b","TX_RESP_Q22c","TX_RESP_Q22d","TX_RESP_Q22e","TX_RESP_Q22f","TX_RESP_Q22g","TX_RESP_Q22h","TX_RESP_Q23a","TX_RESP_Q23b","TX_RESP_Q23c","TX_RESP_Q23d","TX_RESP_Q23e","TX_RESP_Q23f","TX_RESP_Q23g","TX_RESP_Q23h","TX_RESP_Q23i","TX_RESP_Q24","TX_RESP_Q25"
31,6324414,2,61425385,1,1,1526491,12,52573252,1,1,1,1,1,11,4,6,11,4,6,1,1,0,63244142112,1.1666666667,-0.027589,0.3794,248.465019,20.902422,1.1666666667,-0.6612,0.631027,213.008374,35.269568,1,1,5.92,6,1.3333333333,2,1,1,1,1,1,1,4,2,2,1,1,2,3,3,2,2,3,2,3,2,2,2,2,1,2,3,3,4,2,4,2,2,2,2,2,2,2,2,2,1,2,1,4,3,1,1,1,2,1,4,3,4,3,3,3,4,4,4,4,4,2,3,2,3,4,3,1,2,3,2,1
31,6324414,2,61425385,1,1,1526491,12,52573253,1,1,1,1,1,13,6,1,13,6,1,1,1,0,63244142112,1.1666666667,1.178738,0.333883,314.92563,18.394737,1.1666666667,0.524037,0.49492,279.254029,27.662231,1,1,5.53,6,1.3333333333,2,1,1,3,1,1,1,2,2,1,1,1,2,3,3,2,3,3,3,3,3,1,2,2,2,2,3,2,3,2,4,2,2,2,2,2,1,2,2,2,3,2,1,4,2,1,1,1,3,2,3,1,3,2,2,2,2,1,1,2,1,2,2,2,1,1,1,2,1,1,3,1
31,6324414,2,61425385,1,1,1526491,12,52574627,1,1,1,1,1,21,7,3,21,7,3,1,1,0,63244142112,1.1666666667,0.852644,0.371898,296.960015,20.489111,1.1666666667,0.165945,0.560722,259.239433,31.340058,1,1,4.58,4,1.3333333333,1,1,1,3,1,1,1,3,2,2,NA,NA,2,3,NA,2,3,3,3,3,2,1,2,2,1,1,3,2,3,2,3,1,2,2,1,2,1,2,1,2,3,2,1,4,2,1,1,1,3,1,4,2,3,1,2,3,2,3,3,2,2,2,2,2,1,2,2,2,1,1,3,1
31,6324414,2,61425385,1,1,1526491,12,52577534,1,1,1,1,1,19,5,1,19,5,1,1,1,0,63244142112,1.1666666667,0.825092,0.352518,295.442083,19.421402,1.1666666667,1.530145,0.324493,335.487747,18.136669,1,1,3.65,2,1.3333333333,1,1,1,4,1,1,1,2,2,2,1,1,1,NA,NA,1,2,3,3,3,2,1,2,2,1,1,2,2,2,2,2,1,1,1,1,1,1,1,2,2,3,2,1,4,3,1,1,1,2,1,4,3,2,2,2,2,3,3,2,3,3,2,3,2,3,2,3,2,2,2,4,NA
31,6324414,2,61425385,1,1,1526491,12,52577535,1,1,1,1,1,10,3,5,10,3,5,1,1,0,63244142112,1.1666666667,0.184909,0.436283,260.172249,24.036298,1.1666666667,0.279205,0.623566,265.569798,34.852555,1,1,4.23,3,1.3333333333,2,1,1,3,1,1,1,4,2,2,NA,NA,2,4,2,2,NA,3,3,3,3,2,2,2,1,1,2,1,2,2,4,1,2,2,1,1,1,1,2,2,1,1,1,1,3,1,1,1,3,1,2,3,3,2,1,3,2,3,2,1,4,2,2,1,1,2,3,1,1,1,3,1
31,6324414,2,61425385,1,1,1526491,12,52577536,1,1,1,1,1,2,2,3,2,2,3,1,1,0,63244142112,1.1666666667,1.604744,0.373275,338.395733,20.564975,1.1666666667,0.287501,0.49058,266.033481,27.419658,1,0,NA,1,NA,2,2,1,3,1,1,1,3,2,2,NA,NA,2,2,3,1,2,3,2,3,3,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,2,3,3,2,1,2,2,2,2,1,2,3,3,1,1,3,1
31,6324414,2,61425385,1,1,1526491,12,52577537,1,1,1,1,1,8,1,3,8,1,3,1,1,0,63244142112,1.1666666667,1.125414,0.345778,311.987832,19.050073,1.1666666667,1.800225,0.278755,350.583147,15.580266,1,1,4.08,3,1.3333333333,1,1,1,3,1,1,1,3,2,2,1,1,2,2,2,2,3,3,3,3,3,1,1,1,1,1,2,2,2,2,3,1,1,1,2,1,1,2,2,2,3,2,1,4,3,1,1,1,3,2,2,1,2,3,3,3,3,3,2,2,3,2,2,2,2,3,2,3,1,1,3,1
31,6324414,2,61425385,1,1,1526491,12,52577538,1,0,0,0,0,20,6,2,20,6,2,0,0,0,63244142112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,6324414,2,61425385,1,1,1526491,12,52577539,1,0,0,0,0,3,3,4,3,3,4,0,0,0,63244142112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,6324414,2,61425385,1,1,1526491,12,52577540,1,0,0,0,0,4,4,5,4,4,5,0,0,0,63244142112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
