ID_ESCOLA,TIPO_ESCOLA,AREA,LOCALIZACAO,CLUSTER,MEDIA_MT,MEDIA_LP,INSE_MEDIO,FAIXA_MT,FAIXA_LP,GRUPO_INSE
61416663,Publica,Interior,Urbana,1,2354.18,297.13,4.97,Q4_Alto,Q4_Alto,Medio_INSE
61412167,Publica,Interior,Urbana,1,2347.27,273.13,4.33,Q4_Alto,Q3_Médio-Alto,Baixo_INSE
61425019,Publica,Interior,Urbana,1,2177.57,254.36,4.9,Q4_Alto,Q1_Baixo,Medio_INSE
61449163,Publica,Interior,Urbana,1,2171.84,274.79,5.28,Q4_Alto,Q3_Médio-Alto,Alto_INSE
61405112,Publica,Capital,Urbana,1,2154.16,277.48,5.33,Q4_Alto,Q3_Médio-Alto,Alto_INSE
61432531,Publica,Interior,Urbana,1,2152.66,274.68,5.1,Q4_Alto,Q3_Médio-Alto,Alto_INSE
61437650,Publica,Interior,Urbana,1,2148.67,272.13,5.5,Q4_Alto,Q2_Médio-Baixo,Alto_INSE
61421769,Publica,Interior,Urbana,1,2124.38,272.63,5.18,Q4_Alto,Q2_Médio-Baixo,Alto_INSE
61441584,Publica,Interior,Urbana,1,2118.86,264.62,4.74,Q4_Alto,Q2_Médio-Baixo,Medio_INSE
61399849,Publica,Interior,Urbana,1,2114.59,292.64,5.49,Q4_Alto,Q4_Alto,Alto_INSE
61442309,Publica,Interior,Urbana,1,2104.32,272.36,5.44,Q4_Alto,Q2_Médio-Baixo,Alto_INSE
61432900,Publica,Capital,Urbana,1,2051.17,292.49,5.43,Q4_Alto,Q4_Alto,Alto_INSE
61442010,Publica,Interior,Urbana,1,2032.52,274.81,4.91,Q4_Alto,Q3_Médio-Alto,Medio_INSE
61466227,Publica,Interior,Urbana,1,1844.79,287.19,5.26,Q4_Alto,Q4_Alto,Alto_INSE
61433990,Publica,Interior,Urbana,1,1716.23,254.13,5.18,Q4_Alto,Q1_Baixo,Alto_INSE
61425346,Publica,Interior,Urbana,1,1705.7,279.83,5.41,Q4_Alto,Q3_Médio-Alto,Alto_INSE
61416086,Publica,Capital,Urbana,1,1571.93,285.75,5.65,Q4_Alto,Q3_Médio-Alto,Alto_INSE
61433001,Publica,Interior,Urbana,1,1520.95,285.52,5.26,Q4_Alto,Q3_Médio-Alto,Alto_INSE
61441531,Publica,Interior,Urbana,1,1499.91,281.11,5.07,Q4_Alto,Q3_Médio-Alto,Medio_INSE
61470139,Publica,Interior,Urbana,1,1453.03,258.9,5.22,Q4_Alto,Q1_Baixo,Alto_INSE
61432914,Publica,Capital,Urbana,1,1381.47,273.43,5.24,Q4_Alto,Q3_Médio-Alto,Alto_INSE
61441611,Publica,Interior,Urbana,1,1379.17,290.73,5.12,Q4_Alto,Q4_Alto,Alto_INSE
61432951,Publica,Interior,Urbana,1,1316.16,272.04,5.21,Q4_Alto,Q2_Médio-Baixo,Alto_INSE
61399904,Publica,Interior,Urbana,1,1224.07,293.11,5.61,Q4_Alto,Q4_Alto,Alto_INSE
