"ID_ESCOLA","n_alunos","n_variaveis_total","n_validas","n_degeneradas","n_cor_MT","n_cor_LP"
"61405124",27,104,32,72,9,7
"61405125",132,104,32,72,0,1
"61405126",61,104,32,72,3,3
"61405127",97,104,32,72,0,4
"61405129",192,104,32,72,0,1
"61405579",17,104,31,73,8,12
"61405581",112,104,32,72,0,1
"61405582",122,104,32,72,1,2
"61405584",107,104,32,72,0,2
"61405589",207,104,32,72,1,1
"61405590",56,104,31,73,4,2
"61405591",78,104,30,74,3,1
"61405592",39,104,31,73,8,1
"61405597",43,104,32,72,3,3
"61405599",48,104,32,72,6,7
"61405603",29,104,29,75,3,3
"61405604",229,104,32,72,1,1
"61405610",123,104,32,72,1,3
"61405611",68,104,31,73,0,1
"61405613",102,104,32,72,0,2
"61405615",12,104,28,76,9,18
"61405616",44,104,31,73,4,9
"61405619",15,104,32,72,7,16
"61405620",64,104,32,72,0,2
"61405623",19,104,32,72,6,8
"61405626",82,104,32,72,3,5
"61405627",76,104,31,73,2,1
"61405628",24,104,31,73,7,5
"61405629",36,104,32,72,4,9
"61405632",27,104,31,73,7,5
"61405637",17,104,31,73,10,22
"61405640",130,104,32,72,0,1
"61405641",55,104,32,72,2,1
"61405642",195,104,32,72,0,0
"61405646",17,104,32,72,12,11
"61405649",33,104,32,72,6,11
"61405650",21,104,31,73,7,10
"61405652",99,104,31,73,1,3
"61405653",41,104,32,72,11,10
"61405654",97,104,32,72,0,1
"61405655",33,104,32,72,0,4
"61405656",30,104,31,73,9,11
"61405661",92,104,32,72,0,0
"61405666",14,104,32,72,14,12
"61405673",78,104,32,72,2,2
"61405675",51,104,32,72,9,3
"61405681",128,104,32,72,1,0
"61405684",20,104,31,73,9,9
"61405693",26,104,32,72,10,6
"61405698",18,104,31,73,13,13
"61405699",167,104,32,72,0,0
"61405706",74,104,32,72,1,1
"61405709",115,104,32,72,1,0
"61405719",30,104,32,72,7,7
"61405725",22,104,31,73,11,10
"61405726",78,104,31,73,4,3
"61406176",23,104,31,73,3,7
"61406180",29,104,32,72,1,11
"61406181",14,104,30,74,9,16
"61406217",145,104,32,72,0,0
"61406230",51,104,32,72,6,6
"61406232",154,104,32,72,2,0
"61406234",72,104,32,72,2,2
"61406236",17,104,31,73,12,14
"61406261",26,104,30,74,14,7
"61407965",60,104,31,73,1,4
"61407966",12,104,30,74,13,15
"61407967",26,104,32,72,12,9
"61407971",60,104,32,72,3,5
"61407972",27,104,32,72,6,7
"61407973",49,104,32,72,4,5
"61407976",20,104,32,72,7,10
"61407981",97,104,32,72,0,3
"61407982",32,104,31,73,4,4
"61407986",71,104,32,72,2,1
"61407991",110,104,32,72,0,1
"61407992",21,104,31,73,18,10
"61407994",119,104,32,72,1,0
"61407998",86,104,32,72,0,0
"61407999",34,104,31,73,5,5
"61408001",90,104,32,72,1,1
"61408006",51,104,32,72,6,6
"61408008",31,104,32,72,5,5
"61408010",21,104,32,72,12,13
"61408012",64,104,32,72,0,8
"61408013",97,104,32,72,0,4
"61408016",16,104,30,74,14,12
"61408017",117,104,32,72,1,0
"61408020",91,104,32,72,1,2
"61408023",47,104,32,72,0,1
"61408024",19,104,32,72,10,5
"61408026",42,104,32,72,1,4
"61408029",101,104,32,72,0,1
"61408038",51,104,32,72,1,2
"61408039",79,104,32,72,3,3
"61408042",15,104,31,73,13,10
"61408045",22,104,31,73,10,6
"61408051",49,104,31,73,6,4
"61408053",76,104,32,72,1,2
"61408067",89,104,32,72,2,3
"61408071",64,104,31,73,3,1
"61408077",199,104,32,72,0,3
"61408083",25,104,31,73,3,6
"61408565",24,104,31,73,7,4
"61408566",37,104,32,72,1,3
"61408573",29,104,30,74,1,5
"61408574",62,104,32,72,1,5
"61412109",123,104,32,72,2,0
"61412116",52,104,32,72,3,2
"61412117",79,104,32,72,1,2
"61412119",20,104,32,72,5,11
"61412121",46,104,32,72,3,5
"61412122",100,104,32,72,1,1
"61412123",71,104,32,72,2,3
"61412125",525,104,32,72,0,0
"61412126",98,104,32,72,0,2
"61412127",178,104,32,72,0,2
"61412133",92,104,32,72,4,1
"61412134",64,104,32,72,10,4
"61412137",23,104,31,73,8,4
"61412138",154,104,32,72,0,1
"61412145",46,104,32,72,3,4
"61412146",70,104,31,73,4,1
"61412147",102,104,31,73,0,3
"61412148",39,104,32,72,2,3
"61412150",44,104,31,73,4,3
"61412151",99,104,32,72,1,3
"61412153",48,104,31,73,4,6
"61412154",68,104,32,72,3,4
"61412157",15,104,31,73,8,9
"61412162",57,104,32,72,0,1
"61412163",75,104,32,72,1,2
"61412165",15,104,31,73,17,8
"61412167",107,104,32,72,1,2
"61412168",77,104,31,73,1,0
"61412169",64,104,32,72,2,2
"61412173",25,104,31,73,5,2
"61412175",57,104,31,73,3,7
"61412178",51,104,32,72,0,3
"61412181",385,104,32,72,0,0
"61412182",24,104,32,72,7,5
"61412187",68,104,32,72,2,5
"61412188",21,104,32,72,3,4
"61412190",90,104,32,72,3,3
"61412193",15,104,31,73,12,9
"61412194",39,104,31,73,4,4
"61412196",69,104,32,72,3,0
"61412200",188,104,32,72,0,0
"61412201",31,104,32,72,2,2
"61412202",54,104,32,72,4,6
"61412203",12,104,32,72,16,14
"61412204",114,104,32,72,0,1
"61412207",14,104,30,74,11,11
"61412209",22,104,32,72,12,8
"61412210",76,104,32,72,4,2
"61412808",50,104,32,72,1,0
"61412812",155,104,32,72,0,2
"61412815",104,104,32,72,0,4
"61412817",55,104,31,73,1,3
"61412819",133,104,32,72,1,5
"61412820",85,104,32,72,1,3
"61412821",86,104,32,72,0,1
"61412822",24,104,31,73,6,9
"61412823",125,104,32,72,0,3
"61412824",76,104,32,72,2,2
"61412830",42,104,32,72,5,4
"61412831",94,104,32,72,1,1
"61412832",21,104,31,73,10,9
"61412833",78,104,32,72,1,2
"61412835",38,104,32,72,1,7
"61412841",13,104,31,73,10,15
"61412853",16,104,32,72,9,12
"61412857",72,104,32,72,1,5
"61412861",21,104,31,73,9,5
"61412864",41,104,32,72,6,2
"61412867",33,104,32,72,6,13
"61412869",109,104,32,72,2,2
"61412870",43,104,32,72,1,3
"61412878",568,104,32,72,0,1
"61412880",73,104,32,72,1,3
"61412884",108,104,32,72,0,3
"61412890",16,104,31,73,10,14
"61412891",27,104,32,72,6,6
"61412892",105,104,32,72,2,0
"61412893",36,104,32,72,9,7
"61412895",95,104,32,72,2,1
"61412905",60,104,32,72,0,3
"61412925",22,104,31,73,13,11
"61412927",12,104,30,74,14,11
"61415618",68,104,31,73,5,6
"61415627",88,104,32,72,1,3
"61415634",27,104,32,72,19,10
"61415637",91,104,32,72,0,1
"61416085",77,104,32,72,3,1
"61416086",291,104,32,72,0,0
"61416087",149,104,32,72,0,0
"61416088",127,104,32,72,2,1
"61416089",113,104,32,72,1,0
"61416090",126,104,32,72,1,2
"61416092",23,104,32,72,4,4
"61416093",80,104,32,72,1,0
"61416094",13,104,31,73,12,8
"61416095",59,104,32,72,5,2
"61416097",73,104,32,72,3,13
"61416099",174,104,32,72,0,1
"61416102",227,104,32,72,0,0
"61416104",40,104,31,73,5,7
"61416106",37,104,32,72,17,2
"61416109",45,104,32,72,6,4
"61416112",157,104,31,73,0,0
"61416116",105,104,32,72,0,1
"61416117",69,104,32,72,2,2
"61416124",96,104,32,72,0,4
"61416126",16,104,32,72,11,16
"61416130",73,104,32,72,2,2
"61416132",13,104,32,72,12,12
"61416137",22,104,32,72,8,4
"61416138",48,104,32,72,3,9
"61416139",122,104,32,72,0,2
"61416140",41,104,32,72,6,5
"61416142",53,104,32,72,5,7
"61416146",101,104,32,72,0,1
"61416147",86,104,31,73,0,0
"61416150",24,104,31,73,7,8
"61416151",16,104,32,72,15,15
"61416157",50,104,32,72,6,6
"61416158",19,104,32,72,12,9
"61416159",62,104,32,72,3,3
"61416163",19,104,31,73,12,11
"61416166",30,104,31,73,9,10
"61416170",18,104,32,72,8,7
"61416172",16,104,32,72,22,18
"61416176",168,104,32,72,0,0
"61416177",175,104,32,72,1,0
"61416178",41,104,32,72,3,6
"61416180",181,104,32,72,0,1
"61416181",250,104,32,72,0,0
"61416186",53,104,32,72,2,2
"61416190",158,104,32,72,0,1
"61416193",65,104,32,72,2,1
"61416196",132,104,32,72,0,4
"61416198",46,104,32,72,3,4
"61416199",21,104,30,74,9,10
"61416200",143,104,32,72,0,0
"61416203",15,104,31,73,13,13
"61416204",121,104,32,72,0,0
"61416206",149,104,32,72,0,0
"61416211",56,104,32,72,0,2
"61416213",28,104,30,74,5,6
"61416216",21,104,31,73,4,10
"61416218",16,104,31,73,9,9
"61416226",115,104,32,72,0,0
"61416581",51,104,32,72,1,5
"61416583",87,104,32,72,2,0
"61416584",131,104,32,72,0,0
"61416585",118,104,32,72,1,2
"61416586",122,104,32,72,0,3
"61416588",69,104,32,72,4,3
"61416592",47,104,32,72,1,2
"61416593",75,104,32,72,1,4
"61416594",147,104,32,72,0,1
"61416598",18,104,30,74,11,10
"61416604",68,104,32,72,1,0
"61416606",61,104,31,73,3,1
"61416608",147,104,32,72,0,2
"61416612",76,104,32,72,0,2
"61416615",46,104,32,72,2,6
"61416616",32,104,31,73,9,9
"61416619",111,104,32,72,0,0
"61416620",53,104,31,73,3,4
"61416621",16,104,32,72,10,8
"61416625",51,104,32,72,6,9
"61416626",25,104,31,73,6,9
"61416628",25,104,31,73,7,5
"61416634",50,104,32,72,3,2
"61416635",62,104,32,72,0,0
"61416641",15,104,31,73,9,13
"61416642",267,104,32,72,1,1
"61416643",108,104,32,72,0,2
"61416646",108,104,32,72,1,2
"61416647",86,104,32,72,1,1
"61416652",50,104,31,73,4,5
"61416659",201,104,32,72,0,7
"61416662",129,104,32,72,0,0
"61416663",150,104,32,72,1,0
"61416665",13,104,29,75,13,8
"61416666",26,104,32,72,11,5
"61416671",46,104,32,72,2,2
"61416673",65,104,32,72,2,1
"61416674",292,104,32,72,0,1
"61416675",129,104,32,72,0,0
"61416679",48,104,32,72,6,6
"61416680",64,104,32,72,1,5
"61416694",112,104,32,72,1,1
"61416705",58,104,32,72,0,0
"61416721",12,104,31,73,18,14
"61416724",45,104,32,72,3,3
"61416725",146,104,32,72,0,0
"61416726",23,104,31,73,11,7
"61416736",71,104,32,72,1,2
"61416739",34,104,31,73,4,3
"61416741",12,104,32,72,12,15
"61416760",33,104,31,73,7,14
"61417060",95,104,31,73,2,1
"61417064",89,104,32,72,0,0
"61417065",25,104,32,72,6,4
"61417069",31,104,32,72,11,2
"61417071",100,104,32,72,3,0
"61417073",40,104,32,72,4,9
"61417074",78,104,32,72,0,0
"61417075",161,104,32,72,0,2
"61417076",60,104,32,72,1,1
"61417077",553,104,32,72,0,0
"61417078",87,104,32,72,0,1
"61417082",149,104,32,72,0,0
"61417085",38,104,32,72,6,4
"61417087",199,104,32,72,0,1
"61417088",99,104,32,72,1,5
"61417090",168,104,32,72,2,1
"61417092",66,104,32,72,1,2
"61417093",37,104,32,72,7,2
"61417096",36,104,32,72,6,7
"61417097",53,104,32,72,2,1
"61417098",18,104,31,73,8,9
"61417103",32,104,32,72,5,2
"61417104",194,104,32,72,1,1
"61417109",22,104,32,72,7,7
"61417116",33,104,31,73,8,10
"61417120",32,104,32,72,4,3
"61417121",17,104,32,72,13,17
"61417122",90,104,32,72,2,3
"61417128",24,104,32,72,6,10
"61417132",102,104,32,72,0,1
"61417137",60,104,32,72,2,4
"61417139",22,104,32,72,14,10
"61417141",17,104,30,74,11,8
"61417142",39,104,30,74,4,3
"61417148",87,104,32,72,1,1
"61417149",97,104,32,72,3,1
"61417151",16,104,31,73,9,12
"61417155",22,104,31,73,11,11
"61417157",35,104,32,72,6,13
"61417163",110,104,32,72,0,3
"61417164",50,104,32,72,1,2
"61417171",19,104,30,74,8,12
"61417174",36,104,31,73,4,4
"61417181",92,104,32,72,0,1
"61417188",33,104,31,73,6,3
"61417189",27,104,32,72,6,7
"61417197",18,104,30,74,5,8
"61417200",17,104,30,74,14,10
"61417201",22,104,30,74,12,15
"61417202",33,104,31,73,5,5
"61417212",21,104,32,72,12,11
"61417215",70,104,32,72,0,0
"61417221",20,104,31,73,10,10
"61417222",16,104,29,75,5,13
"61421298",121,104,32,72,0,0
"61421753",101,104,32,72,1,0
"61421757",117,104,32,72,3,0
"61421759",81,104,31,73,1,1
"61421761",66,104,32,72,5,4
"61421763",23,104,32,72,13,8
"61421764",32,104,31,73,9,12
"61421765",98,104,32,72,2,2
"61421769",193,104,32,72,1,0
"61421770",51,104,31,73,1,3
"61421771",232,104,32,72,0,1
"61421772",379,104,32,72,0,0
"61421774",22,104,32,72,15,11
"61421775",45,104,32,72,2,4
"61421779",264,104,32,72,1,0
"61421782",63,104,32,72,0,1
"61421783",77,104,32,72,3,3
"61421784",90,104,32,72,1,2
"61421785",157,104,32,72,1,1
"61421787",29,104,30,74,4,4
"61421792",63,104,32,72,3,4
"61421793",57,104,32,72,6,2
"61421794",163,104,32,72,0,0
"61421795",77,104,32,72,4,6
"61421796",84,104,32,72,1,5
"61421797",42,104,31,73,7,6
"61421799",146,104,32,72,2,0
"61421800",95,104,32,72,0,0
"61421802",77,104,32,72,1,1
"61421803",13,104,31,73,16,13
"61421805",32,104,32,72,5,4
"61421806",61,104,32,72,0,12
"61421809",69,104,32,72,0,2
"61421813",15,104,30,74,10,14
"61421815",120,104,32,72,2,0
"61421818",29,104,31,73,4,6
"61421820",52,104,32,72,4,2
"61421823",54,104,32,72,7,5
"61421827",30,104,31,73,13,10
"61421834",42,104,32,72,0,3
"61421835",214,104,32,72,0,0
"61421836",18,104,32,72,11,9
"61421837",86,104,32,72,3,0
"61421847",62,104,32,72,1,5
"61421851",15,104,30,74,11,9
"61421852",69,104,32,72,0,1
"61421857",48,104,32,72,0,3
"61421863",154,104,32,72,0,0
"61421864",70,104,32,72,1,1
"61421870",20,104,32,72,13,16
"61421874",120,104,32,72,0,1
"61421879",71,104,32,72,1,3
"61421880",28,104,32,72,8,5
"61421881",15,104,32,72,10,20
"61421882",104,104,32,72,0,2
"61421889",35,104,32,72,12,5
"61421892",95,104,32,72,0,0
"61422350",14,104,30,74,15,13
"61422357",47,104,31,73,2,3
"61422365",85,104,31,73,0,1
"61422385",98,104,32,72,1,1
"61422389",31,104,32,72,8,7
"61424794",254,104,32,72,1,0
"61424801",210,104,32,72,2,0
"61424808",33,104,32,72,4,10
"61424811",66,104,32,72,3,1
"61424812",115,104,32,72,0,4
"61424813",43,104,32,72,4,4
"61424817",122,104,32,72,0,0
"61424822",94,104,32,72,0,0
"61424823",195,104,32,72,0,0
"61424824",15,104,29,75,19,15
"61424826",30,104,31,73,4,5
"61424828",21,104,31,73,11,12
"61424831",103,104,32,72,3,5
"61424832",19,104,31,73,7,6
"61424835",41,104,32,72,8,2
"61424838",72,104,32,72,1,4
"61424840",110,104,32,72,0,0
"61424841",16,104,30,74,8,16
"61424842",82,104,32,72,2,1
"61424843",24,104,32,72,8,13
"61424845",152,104,32,72,1,0
"61424846",14,104,31,73,10,10
"61424851",28,104,30,74,5,7
"61424855",73,104,32,72,8,4
"61424857",24,104,32,72,10,4
"61424864",17,104,31,73,7,8
"61424866",14,104,28,76,15,13
"61424868",31,104,32,72,5,7
"61424869",45,104,32,72,2,7
"61424875",60,104,32,72,5,5
"61424954",157,104,32,72,0,3
"61424959",106,104,32,72,1,0
"61424962",61,104,32,72,5,8
"61424963",56,104,32,72,5,3
"61424964",285,104,32,72,0,0
"61424967",80,104,32,72,1,2
"61424968",36,104,31,73,6,3
"61424970",39,104,32,72,3,5
"61424972",277,104,32,72,0,0
"61424975",183,104,32,72,0,0
"61424979",24,104,32,72,9,7
"61424980",15,104,31,73,12,7
"61424981",65,104,31,73,0,3
"61424982",87,104,32,72,0,2
"61424983",25,104,30,74,7,7
"61424984",52,104,31,73,2,3
"61424985",39,104,32,72,3,5
"61424986",46,104,32,72,3,2
"61424990",21,104,30,74,5,15
"61424993",50,104,32,72,6,5
"61424995",117,104,32,72,1,0
"61424996",56,104,32,72,5,5
"61424999",76,104,32,72,1,1
"61425003",30,104,32,72,1,2
"61425004",13,104,32,72,12,9
"61425006",69,104,32,72,2,2
"61425007",24,104,32,72,7,12
"61425008",36,104,32,72,4,9
"61425010",201,104,32,72,0,3
"61425012",63,104,32,72,3,0
"61425013",73,104,32,72,0,3
"61425014",19,104,32,72,11,11
"61425015",89,104,32,72,0,4
"61425017",126,104,32,72,0,0
"61425019",178,104,32,72,0,0
"61425076",98,104,32,72,0,0
"61425086",43,104,32,72,6,1
"61425087",64,104,32,72,0,9
"61425088",136,104,32,72,0,0
"61425090",45,104,32,72,6,1
"61425091",200,104,32,72,0,1
"61425092",96,104,32,72,2,0
"61425094",68,104,32,72,4,4
"61425097",67,104,32,72,4,6
"61425098",142,104,32,72,1,1
"61425099",14,104,31,73,16,12
"61425100",76,104,32,72,0,1
"61425105",165,104,32,72,0,1
"61425109",39,104,31,73,6,11
"61425110",23,104,31,73,1,3
"61425112",28,104,30,74,8,8
"61425117",156,104,32,72,0,0
"61425118",138,104,32,72,0,3
"61425124",12,104,31,73,15,13
"61425126",147,104,32,72,0,2
"61425129",25,104,32,72,8,6
"61425133",69,104,32,72,3,6
"61425134",29,104,31,73,3,3
"61425136",76,104,32,72,1,3
"61425140",68,104,32,72,3,5
"61425142",61,104,32,72,3,1
"61425143",26,104,30,74,11,12
"61425147",88,104,32,72,3,7
"61425148",193,104,32,72,1,0
"61425150",27,104,32,72,8,6
"61425154",70,104,32,72,0,3
"61425156",32,104,32,72,3,8
"61425157",27,104,32,72,13,13
"61425158",47,104,32,72,2,6
"61425159",55,104,32,72,1,1
"61425166",45,104,32,72,3,5
"61425168",23,104,30,74,6,13
"61425169",46,104,32,72,9,1
"61425172",303,104,32,72,0,0
"61425173",55,104,32,72,2,0
"61425323",12,104,30,74,8,10
"61425324",43,104,31,73,4,8
"61425331",39,104,31,73,4,11
"61425335",13,104,31,73,19,16
"61425336",165,104,32,72,0,0
"61425339",17,104,30,74,8,9
"61425341",18,104,32,72,4,9
"61425343",24,104,31,73,10,5
"61425346",306,104,32,72,0,0
"61425349",12,104,31,73,15,8
"61425353",88,104,32,72,1,0
"61425355",138,104,32,72,0,1
"61425356",143,104,32,72,0,2
"61425357",16,104,31,73,12,11
"61425359",46,104,32,72,3,5
"61425369",242,104,32,72,0,0
"61425370",45,104,32,72,4,2
"61425373",21,104,32,72,11,8
"61425375",52,104,32,72,4,2
"61425379",54,104,32,72,1,0
"61425382",34,104,32,72,2,1
"61425384",15,104,32,72,10,6
"61425385",65,104,32,72,2,2
"61425387",165,104,32,72,0,2
"61425392",52,104,32,72,1,3
"61425393",103,104,32,72,2,0
"61425394",64,104,32,72,1,1
"61425395",16,104,31,73,13,13
"61425406",17,104,31,73,8,15
"61425411",34,104,31,73,3,9
"61425430",18,104,32,72,11,10
"61425433",33,104,31,73,3,9
"61425474",145,104,32,72,0,0
"61425476",88,104,32,72,2,3
"61425484",95,104,32,72,0,1
"61425486",122,104,32,72,2,4
"61425488",101,104,32,72,0,3
"61425490",126,104,32,72,1,0
"61425493",32,104,32,72,4,4
"61425496",56,104,32,72,5,8
"61425497",54,104,32,72,4,4
"61425499",107,104,32,72,3,0
"61425502",14,104,32,72,10,18
"61425503",134,104,32,72,4,2
"61425506",22,104,32,72,6,14
"61425510",92,104,32,72,1,3
"61425513",35,104,32,72,8,14
"61425514",49,104,32,72,0,4
"61425515",27,104,30,74,2,8
"61425516",23,104,32,72,9,6
"61425517",22,104,32,72,18,12
"61425525",63,104,31,73,3,3
"61425528",74,104,30,74,3,3
"61425535",27,104,31,73,10,11
"61425536",102,104,32,72,5,2
"61425539",16,104,31,73,11,13
"61425560",97,104,32,72,0,1
"61425562",18,104,32,72,11,8
"61425575",86,104,32,72,0,0
"61425577",14,104,31,73,16,20
"61425585",22,104,31,73,13,8
"61425594",40,104,32,72,3,4
"61425597",34,104,32,72,10,10
"61425609",23,104,31,73,9,8
"61425621",18,104,32,72,8,9
"61425629",82,104,32,72,3,2
"61425637",80,104,32,72,1,3
"61425638",13,104,31,73,8,11
"61425643",56,104,32,72,0,0
"61425646",141,104,32,72,1,4
"61425647",136,104,32,72,0,0
"61425651",31,104,31,73,7,4
"61425652",85,104,32,72,1,2
"61425654",128,104,32,72,0,0
"61425665",42,104,32,72,6,9
"61425666",127,104,32,72,1,0
"61425668",78,104,32,72,0,2
"61425673",65,104,32,72,0,3
"61425674",97,104,32,72,0,0
"61425676",38,104,30,74,2,2
"61425677",97,104,32,72,3,1
"61425678",59,104,32,72,6,10
"61425681",64,104,31,73,0,2
"61425684",47,104,32,72,7,7
"61425686",28,104,31,73,8,5
"61425687",56,104,31,73,1,4
"61425688",184,104,32,72,0,0
"61425689",98,104,32,72,1,0
"61425708",21,104,32,72,8,13
"61425718",19,104,29,75,8,7
"61425723",25,104,31,73,11,10
