ID_ESCOLA,LOCALIZACAO,AREA,TIPO_ESCOLA,CLUSTER,MEDIA_MT,MEDIA_LP,INSE_MEDIO,FAIXA_MT,FAIXA_LP,GRUPO_INSE
61425646,Urbana,Interior,Pública,1,2893.84,292.97,5.32,Q4_Alto,Q4_Alto,Alto_INSE
61455436,Urbana,Interior,Pública,1,2880.15,278.99,5.21,Q4_Alto,Q3_Médio-Alto,Alto_INSE
61425666,Urbana,Interior,Pública,1,2687.07,306,5.31,Q4_Alto,Q4_Alto,Alto_INSE
61451133,Urbana,Capital,Pública,1,2648.64,306.36,5.54,Q4_Alto,Q4_Alto,Alto_INSE
61433498,Urbana,Interior,Pública,1,2620.3,2766.63,5.3,Q4_Alto,Q4_Alto,Alto_INSE
61424801,Urbana,Capital,Pública,1,2613.21,290.48,5.52,Q4_Alto,Q4_Alto,Alto_INSE
61449645,Urbana,Interior,Pública,1,2612.37,279.04,5.21,Q4_Alto,Q3_Médio-Alto,Alto_INSE
61416608,Urbana,Interior,Pública,1,2549.91,265.51,4.31,Q4_Alto,Q2_Médio-Baixo,Baixo_INSE
61457713,Urbana,Interior,Pública,1,2474.31,2614.43,5.15,Q4_Alto,Q4_Alto,Alto_INSE
61465842,Urbana,Interior,Pública,1,2460.84,276.85,5.07,Q4_Alto,Q3_Médio-Alto,Medio_INSE
61424817,Urbana,Interior,Pública,1,2443.74,273.23,5.4,Q4_Alto,Q3_Médio-Alto,Alto_INSE
61416663,Urbana,Interior,Pública,1,2354.18,297.13,4.97,Q4_Alto,Q4_Alto,Medio_INSE
61412167,Urbana,Interior,Pública,1,2347.27,273.13,4.33,Q4_Alto,Q3_Médio-Alto,Baixo_INSE
61425019,Urbana,Interior,Pública,1,2177.57,254.36,4.9,Q4_Alto,Q1_Baixo,Medio_INSE
61449163,Urbana,Interior,Pública,1,2171.84,274.79,5.28,Q4_Alto,Q3_Médio-Alto,Alto_INSE
61405112,Urbana,Capital,Pública,1,2154.16,277.48,5.33,Q4_Alto,Q3_Médio-Alto,Alto_INSE
61432531,Urbana,Interior,Pública,1,2152.66,274.68,5.1,Q4_Alto,Q3_Médio-Alto,Alto_INSE
61437650,Urbana,Interior,Pública,1,2148.67,272.13,5.5,Q4_Alto,Q2_Médio-Baixo,Alto_INSE
61421769,Urbana,Interior,Pública,1,2124.38,272.63,5.18,Q4_Alto,Q2_Médio-Baixo,Alto_INSE
61441584,Urbana,Interior,Pública,1,2118.86,264.62,4.74,Q4_Alto,Q2_Médio-Baixo,Medio_INSE
61399849,Urbana,Interior,Pública,1,2114.59,292.64,5.49,Q4_Alto,Q4_Alto,Alto_INSE
61442309,Urbana,Interior,Pública,1,2104.32,272.36,5.44,Q4_Alto,Q2_Médio-Baixo,Alto_INSE
61432900,Urbana,Capital,Pública,1,2051.17,292.49,5.43,Q4_Alto,Q4_Alto,Alto_INSE
61442010,Urbana,Interior,Pública,1,2032.52,274.81,4.91,Q4_Alto,Q3_Médio-Alto,Medio_INSE
61424823,Urbana,Interior,Pública,1,2005.45,3882.54,5.45,Q4_Alto,Q4_Alto,Alto_INSE
61450139,Urbana,Interior,Pública,1,1847.09,1932.4,5.4,Q4_Alto,Q4_Alto,Alto_INSE
61466227,Urbana,Interior,Pública,1,1844.79,287.19,5.26,Q4_Alto,Q4_Alto,Alto_INSE
61433990,Urbana,Interior,Pública,1,1716.23,254.13,5.18,Q4_Alto,Q1_Baixo,Alto_INSE
61425346,Urbana,Interior,Pública,1,1705.7,279.83,5.41,Q4_Alto,Q3_Médio-Alto,Alto_INSE
61416086,Urbana,Capital,Pública,1,1571.93,285.75,5.65,Q4_Alto,Q3_Médio-Alto,Alto_INSE
61433001,Urbana,Interior,Pública,1,1520.95,285.52,5.26,Q4_Alto,Q3_Médio-Alto,Alto_INSE
61441531,Urbana,Interior,Pública,1,1499.91,281.11,5.07,Q4_Alto,Q3_Médio-Alto,Medio_INSE
61470139,Urbana,Interior,Pública,1,1453.03,258.9,5.22,Q4_Alto,Q1_Baixo,Alto_INSE
61432914,Urbana,Capital,Pública,1,1381.47,273.43,5.24,Q4_Alto,Q3_Médio-Alto,Alto_INSE
61441611,Urbana,Interior,Pública,1,1379.17,290.73,5.12,Q4_Alto,Q4_Alto,Alto_INSE
61432951,Urbana,Interior,Pública,1,1316.16,272.04,5.21,Q4_Alto,Q2_Médio-Baixo,Alto_INSE
61399904,Urbana,Interior,Pública,1,1224.07,293.11,5.61,Q4_Alto,Q4_Alto,Alto_INSE
61442017,Urbana,Interior,Pública,1,414.5,353.19,6.12,Q4_Alto,Q4_Alto,Alto_INSE
61405699,Urbana,Interior,Pública,1,407.29,4292.94,5.81,Q4_Alto,Q4_Alto,Alto_INSE
61424794,Urbana,Capital,Pública,1,386.14,353.1,5.82,Q4_Alto,Q4_Alto,Alto_INSE
61442075,Urbana,Capital,Pública,1,377.07,343.52,6.24,Q4_Alto,Q4_Alto,Alto_INSE
61459800,Urbana,Interior,Pública,1,375.14,334.15,6.07,Q4_Alto,Q4_Alto,Alto_INSE
61417215,Urbana,Interior,Pública,1,372.58,340.26,5.53,Q4_Alto,Q4_Alto,Alto_INSE
61438279,Urbana,Interior,Pública,1,370.92,346.7,5.49,Q4_Alto,Q4_Alto,Alto_INSE
61426242,Urbana,Interior,Pública,1,363.58,343.79,5.97,Q4_Alto,Q4_Alto,Alto_INSE
61412892,Urbana,Interior,Pública,1,362.35,340.37,5.64,Q4_Alto,Q4_Alto,Alto_INSE
61433973,Urbana,Interior,Pública,1,361.87,342.86,5.8,Q4_Alto,Q4_Alto,Alto_INSE
61442025,Urbana,Interior,Pública,1,358.31,337.4,5.49,Q4_Alto,Q4_Alto,Alto_INSE
61399418,Urbana,Interior,Pública,1,358.21,346.72,5.57,Q4_Alto,Q4_Alto,Alto_INSE
61442026,Urbana,Interior,Pública,1,355.86,345.82,5.43,Q4_Alto,Q4_Alto,Alto_INSE
61442651,Urbana,Interior,Pública,1,353.7,331.14,6.01,Q4_Alto,Q4_Alto,Alto_INSE
61421757,Urbana,Interior,Pública,1,352.55,334.52,5.67,Q4_Alto,Q4_Alto,Alto_INSE
61459496,Urbana,Interior,Pública,1,352.4,335.17,5.64,Q4_Alto,Q4_Alto,Alto_INSE
61417071,Urbana,Interior,Pública,1,350.17,341.05,5.54,Q4_Alto,Q4_Alto,Alto_INSE
61449850,Urbana,Interior,Pública,1,349.01,333.06,5.5,Q4_Alto,Q4_Alto,Alto_INSE
61466568,Urbana,Interior,Pública,1,348.86,340.94,5.83,Q4_Alto,Q4_Alto,Alto_INSE
61431450,Urbana,Interior,Pública,1,348.3,342.05,5.72,Q4_Alto,Q4_Alto,Alto_INSE
61442586,Urbana,Interior,Pública,1,346.66,325.93,6.23,Q4_Alto,Q4_Alto,Alto_INSE
61425525,Urbana,Interior,Pública,1,346.26,331.76,5.93,Q4_Alto,Q4_Alto,Alto_INSE
61415637,Urbana,Interior,Pública,1,346.07,344.76,5.43,Q4_Alto,Q4_Alto,Alto_INSE
61441572,Urbana,Interior,Pública,1,345.6,319.12,5.79,Q4_Alto,Q4_Alto,Alto_INSE
61400483,Urbana,Interior,Pública,1,345.21,328.13,5.8,Q4_Alto,Q4_Alto,Alto_INSE
61412878,Urbana,Capital,Pública,1,345,314.42,5.69,Q4_Alto,Q4_Alto,Alto_INSE
61425092,Urbana,Interior,Pública,1,343.1,328.59,5.75,Q4_Alto,Q4_Alto,Alto_INSE
61448093,Urbana,Interior,Pública,1,343.09,316.03,6.21,Q4_Alto,Q4_Alto,Alto_INSE
61412895,Urbana,Interior,Pública,1,342.88,330.37,5.41,Q4_Alto,Q4_Alto,Alto_INSE
61405591,Urbana,Interior,Pública,1,342.71,330.61,5.62,Q4_Alto,Q4_Alto,Alto_INSE
61455454,Urbana,Interior,Pública,1,340.96,333.09,5.3,Q4_Alto,Q4_Alto,Alto_INSE
61428718,Urbana,Interior,Pública,1,339.19,327.89,5.34,Q4_Alto,Q4_Alto,Alto_INSE
